name,long_description,logo_link,short_description
4C Association,"The 4C Association is a multi-stakeholder organization that brings together actors that are committed to addressing the sustainability issues of the coffee sector in a pre-competitive manner. The members of the 4C Association include coffee farmers (both big and small), traders (importers and exporters), industry players (coffee roasters and retailers) and civil society (non-governmental organizations, standard setting initiatives and trade unions). Members also include individuals committed to the Association’s aims.The 4C Association mission is to be the leading multi-stakeholder sustainable coffee platform, guiding the sector towards mainstream sustainability in a pre-competitive arena where all relevant stakeholders are enabled to participate. It provides a recognized baseline standard as a first step in continuous improvement towards sustainability; promotes and partners with other standards and initiatives in the market, and addresses the broader coffee sustainability agenda.
The 4C vision is to unite all relevant coffee stakeholders in working towards the improvement of the economic, social and environmental conditions of coffee production and processing to build a sustainable sector for generations to come.Using the 4C Logo on coffee packs is not allowed since the 4C Mainstream Approach does not imply any product guarantee. Coffee roasters however may use the 4C Membership Statement to point out their membership and their commitment for a more sustainable coffee sector. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, 4C Association, ISEAL, Other, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/4c-association-verification-system.png,Food
80 PLUS,"The original premise of the 80 PLUS program was to enlist utilities and computer manufacturers to participate in an innovative upstream buy-down program to integrate more energy-efficient power supplies into desktop computers. The program has now evolved into the Ecos Plug Load Solutions program, which promotes and incents a broad array of highly energy-efficient commercial and retail technologies. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Ecos IQ, Inc., Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/80-plus.png,"Electronics, United States"
AB (Agriculture Biologique),"France's national logo for organic products since 1985. Organic products carrying the logo must contain more than 95 percent organic components, and be produced or processed within the EU, and were certified by one of the inspection bodies accredited according to EN 45011.L'Agence Bio began managing and promoting the label in 2008. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, L’Agence BIO, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/ab-agriculture-biologique.png,"Food, France, South Africa"
ABIO,"Associação de Agricultores Biológicos do Estado do Rio de Janeiro is providing certification of organic farming. Criteria of the ABIO have been developed based on the parameters of the International Federation for Organic Agriculture Movements - IFOAM. The ABIO certfied farms are inspected on a continuous basis. Farming sites, their products, water and soiles are sampled and undergo laboratory analysis with certain periodicity to ensure compliance. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Associação de Agricultores Biológicos do Estado do Rio de Janeiro, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/abio.png,"Food, Brazil"
ABNT Ecolabel,"ABNT Ecolabel is a life cycle based ecolabel that is a voluntary method of environmental performance certification and labelling for products and services in Brazil.It is run by the Associacao Brasileira de Normas Tecnicas (ABNT) (the  Brazilian Association of Technical Standards) and is a member of the Global Ecolabelling Network. ABNT is also a certification body accredited by Inmetro for certification of products, services, systems and people. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, ABNT, GEN,ISO, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/ABNT.png,"Building products, Cosmetics / Personal care, Machinery & Equipment"
AENOR Medio Ambiente,"Type I ecolabel system aimed at recognizing environmental friendly products or services. Certification procedure based on auditing and labs test. The program will mark those products with less environmental impacts. It is mainly oriented to consumer products. Certification/ registration required, Unknown, Association Espanola de normalizacion y Certificacion (AENOR), Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/aenor-medio-ambiente.png,"Building products, Electronics, Energy"
AfOR Compost Certified,"The AfOR compost certification rules highlight the circumstances under which compost can be considered a ‘product’ and when it is regarded as ‘waste’ and remark that any composts sold in England and Wales for any use must comply with the PAS 100 & CQP (the British Standards Institution's Publicly Available Specification for Composted Materials and the Environment Agency and Waste and Resources Action Programme's Compost Quality Protocol). Composts sold in Scotland and Northern Ireland for any use must comply with PAS 100 only.   Otherwise the compost must be handled as wastes – this includes composts sold through garden centres or other retail outlets. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, The Association of Organics Recycling, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/composting-association-certified.png,"Food, Waste management & Recycling, United Kingdom"
Afrisco Certified Organic,"Organic production standards and certification for South Africa accredited by IFOAM. Certification/ registration required, Unknown, Ecocert-Afrisco (Pty) Ltd, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/afrisco-certified-organic.png,"Food, South Africa"
AIAB (Italian Association for Organic Agriculture),"Italian Association for Organic Agriculture's certification. They certify organic products and companies in a broad range of categories, including:fooddetergentsfarmscosmeticsstoresbio-fibres Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, A.I.A.B.- Associazione Italiana per l'Agricoltura Biologica, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/agriturismi-bioecologice-aiab.png,"Cleaning products, Cosmetics / Personal care, Food"
AISE Charter for Sustainable Cleaning,"The Charter for Sustainable Cleaning is a voluntary initiative for the European soap, detergent, and maintenance products industry, managed by the Association for Soaps, Detergents and Maintenance Products (AISE). The aim is to encourage the whole industry to undertake continual improvement in terms of sustainability and also to encourage consumers to adopt more sustainable ways of doing their washing, cleaning and household maintenance. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, A.I.S.E., Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/charter-for-sustainable-cleaning.png,"Cleaning products, Austria, Belgium"
